I,V
0.48,-4.7
0.54,-5.2
0.66,-6.2
0.9,-8.3
1.1,-9.9
1.21,-10.8
1.25,-11.1
1.44,-12.8
1.68,-14.8
1.82,-16
1.91,-16.8
1.91,-16.8
1.99,-17.5
2.22,-19.5
2.39,-20.8
2.5,-21.9
2.59,-22.6
2.74,-23.9
2.83,-24.6
2.88,-25.1
2.89,-25.2
2.91,-25.3
3,-26.1
3.18,-27.7
3.35,-29.1
3.46,-30
3.53,-30.7
3.58,-31.1
3.67,-31.8
3.77,-32.7
3.91,-33.9
4.02,-34.7
4.12,-35.7
4.2,-36.3
4.23,-36.5
4.23,-36.6
4.29,-37.1
4.36,-37.6
4.45,-38.5
4.61,-39.8
4.72,-40.8
4.81,-41.6
4.92,-42.4
5,-43.1
5.05,-43.5
5.13,-44.2
5.22,-45
5.27,-45.4
5.32,-45.9
5.4,-46.5
5.47,-47
5.5,-47.4
5.56,-47.8
5.63,-48.5
5.73,-49.3
5.9,-50.7
6.05,-52.1
