HV,T,I
-5.5,-0.0039,50
-8.9,-0.0078,100
-12.3,-0.0117,150
-15.8,-0.0157,200
-19.1,-0.0196,250
-22.6,-0.0235,300
-26.1,-0.0275,350
-29.5,-0.0315,400
-33,-0.0355,450
-36.6,-0.0395,500
-40.1,-0.0435,550
-43.8,-0.0476,600
-47.3,-0.0517,650
-50.9,-0.0559,700
-54.6,-0.0601,750
-56.8,-0.0643,800
-62.1,-0.0686,850
-65.8,-0.0729,900
